Date,Open,High,Low,Close,Adj Close,Volume
2017-03-02,24.000000,26.049999,23.500000,24.480000,24.480000,217048900
2017-03-03,26.389999,29.440001,26.059999,27.090000,27.090000,148166400
2017-03-06,28.170000,28.250000,23.770000,23.770000,23.770000,72903000
2017-03-07,22.209999,22.500000,20.639999,21.440001,21.440001,71857800
2017-03-08,22.030001,23.430000,21.309999,22.809999,22.809999,49819100
2017-03-09,23.170000,23.680000,22.510000,22.709999,22.709999,25803200
2017-03-10,23.360001,23.400000,22.000000,22.070000,22.070000,18337600
2017-03-13,22.049999,22.150000,20.959999,21.090000,21.090000,20605900
2017-03-14,20.900000,20.980000,20.150000,20.580000,20.580000,20033200
2017-03-15,20.080000,21.400000,20.049999,20.770000,20.770000,24985900
2017-03-16,20.650000,20.690001,19.750000,19.889999,19.889999,25630200
2017-03-17,19.799999,19.850000,18.900000,19.540001,19.540001,34252000
2017-03-20,19.940001,20.430000,19.719999,19.930000,19.930000,21016000
2017-03-21,20.040001,20.540001,19.549999,20.379999,20.379999,19801500
2017-03-22,20.650000,22.250000,20.520000,21.820000,21.820000,47599300
2017-03-23,22.690001,23.299999,22.219999,23.129999,23.129999,40645400
2017-03-24,23.049999,23.100000,22.340000,22.740000,22.740000,17263200
2017-03-27,23.090000,24.400000,22.600000,23.830000,23.830000,48398200
2017-03-28,23.309999,23.360001,22.170000,22.209999,22.209999,49889900
2017-03-29,21.770000,22.709999,21.330000,22.549999,22.549999,31475600
2017-03-30,22.549999,22.850000,22.000000,22.230000,22.230000,17094300
2017-03-31,22.049999,22.620001,22.000000,22.530001,22.530001,15087100
2017-04-03,22.700001,22.900000,22.110001,22.350000,22.350000,12521300
2017-04-04,22.209999,22.670000,21.879999,22.139999,22.139999,16313500
2017-04-05,22.150000,22.219999,20.670000,20.700001,20.700001,26099300
2017-04-06,20.760000,20.760000,20.030001,20.570000,20.570000,21933900
2017-04-07,20.680000,21.080000,20.600000,20.820000,20.820000,10580900
2017-04-10,21.090000,21.270000,20.700001,20.969999,20.969999,8629800
2017-04-11,21.010000,21.200001,20.340000,20.700001,20.700001,13310700
