Date,Open,High,Low,Close,Adj Close,Volume
2019-01-22,79.260002,79.540001,78.580002,79.190002,78.627815,6062600
2019-01-23,79.330002,79.400002,78.680000,79.199997,78.637741,3972000
2019-01-24,78.970001,79.650002,78.690002,79.470001,78.905830,4142500
2019-01-25,79.739998,80.519997,79.589996,80.459999,79.888794,5713400
2019-01-28,80.309998,81.330002,80.059998,81.250000,80.673187,5471200
2019-01-29,81.129997,81.930000,80.970001,81.889999,81.308647,4832200
2019-01-30,81.919998,82.849998,81.830002,82.550003,81.963966,6635900
2019-01-31,82.449997,83.470001,81.779999,83.410004,82.817856,13041700
2019-02-01,83.489998,83.750000,81.720001,82.879997,82.291618,16142500
2019-02-04,82.860001,83.500000,82.199997,83.500000,82.907219,13612800
2019-02-05,83.580002,84.029999,83.059998,83.980003,83.383812,10279100
2019-02-06,83.669998,83.889999,83.160004,83.430000,82.837715,8419900
2019-02-07,83.180000,84.220001,82.910004,84.120003,83.522820,8823200
2019-02-08,83.800003,84.449997,83.650002,84.120003,83.522820,6853900
2019-02-11,84.250000,84.510002,83.959999,84.349998,83.751183,4999200
2019-02-12,84.550003,84.550003,83.510002,83.820000,83.224945,8588900
2019-02-13,83.830002,84.330002,83.519997,84.250000,83.651894,5697000
2019-02-14,84.379997,84.839996,83.989998,84.519997,83.919968,6928100
2019-02-15,84.739998,85.099998,84.540001,85.089996,84.485924,4998600
2019-02-19,84.910004,85.269997,84.750000,85.070000,84.466072,5981200
2019-02-20,85.010002,85.010002,83.980003,84.540001,83.939835,7918900
2019-02-21,84.059998,84.699997,83.779999,84.620003,84.019264,4756900
2019-02-22,84.790001,85.449997,84.519997,85.120003,84.515717,4490300
2019-02-25,85.290001,85.360001,84.370003,84.449997,83.850471,4956800
2019-02-26,84.570000,84.790001,84.050003,84.190002,83.592323,4777100
2019-02-27,83.910004,84.129997,83.150002,83.769997,83.175293,8116400
2019-02-28,83.830002,84.919998,83.519997,83.989998,83.393738,6547100
2019-03-01,83.940002,84.239998,82.820000,83.730003,83.135590,10635700
2019-03-04,84.120003,84.199997,83.180000,84.110001,83.512886,7103600
2019-03-05,84.070000,84.709999,83.900002,84.339996,83.741249,9077500
2019-03-06,84.419998,84.599998,83.849998,83.949997,83.354019,5370800
2019-03-07,84.160004,84.550003,83.550003,83.769997,83.175293,8328500
2019-03-08,83.629997,84.160004,83.489998,83.860001,83.264664,9264800
2019-03-11,84.150002,85.150002,84.010002,85.089996,84.485924,4679300
2019-03-12,85.199997,85.690002,85.110001,85.480003,84.873161,6072500
2019-03-13,85.580002,86.129997,85.580002,85.900002,85.290176,4282900
2019-03-14,85.959999,86.050003,85.620003,86.029999,85.419250,4303200
2019-03-15,86.120003,86.190002,85.610001,85.760002,85.151176,4742200
2019-03-18,85.800003,86.029999,84.919998,85.330002,84.724228,4125300
2019-03-19,85.379997,85.510002,84.809998,85.070000,84.466072,6169200
2019-03-20,85.050003,85.860001,84.440002,85.330002,84.724228,6499300
2019-03-21,85.209999,86.889999,85.199997,86.849998,86.233429,6948200
2019-03-22,86.930000,87.419998,86.199997,86.220001,85.607910,8769700
2019-03-25,86.250000,86.610001,85.750000,86.330002,85.717125,6324300
2019-03-26,86.519997,87.059998,86.430000,87.019997,86.402222,8576400
2019-03-27,87.139999,87.290001,86.220001,86.769997,86.153999,7252600
2019-03-28,86.349998,87.029999,86.099998,86.989998,86.989998,5600000
2019-03-29,87.070000,87.160004,86.570000,86.910004,86.910004,13743500
2019-04-01,87.000000,87.029999,85.910004,86.860001,86.860001,8528500
2019-04-02,86.980003,87.550003,86.220001,87.470001,87.470001,10358100
2019-04-03,87.470001,87.739998,86.779999,87.370003,87.370003,5004200
2019-04-04,87.430000,87.500000,86.800003,87.230003,87.230003,4249100
2019-04-05,87.239998,87.889999,87.099998,87.839996,87.839996,4827100
2019-04-08,87.769997,87.830002,87.070000,87.349998,87.349998,4575500
2019-04-09,87.349998,87.480003,86.739998,86.889999,86.889999,3507600
2019-04-10,87.199997,87.769997,87.019997,87.690002,87.690002,4264500
2019-04-11,87.779999,88.089996,87.279999,87.629997,87.629997,2925600
2019-04-12,87.589996,88.080002,86.970001,88.050003,88.050003,4148900
2019-04-15,88.099998,88.139999,87.370003,87.599998,87.599998,3468900
2019-04-16,87.620003,87.660004,85.279999,85.620003,85.620003,7256100
2019-04-17,85.910004,86.029999,84.559998,84.839996,84.839996,6121300
2019-04-18,85.110001,85.669998,84.580002,85.489998,85.489998,4827400
