Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,null,null,null,null,null,null
2018-04-23,1.200000,1.320000,1.130000,1.170000,1.170000,650800
2018-04-30,1.190000,1.280000,1.160000,1.250000,1.250000,395500
2018-05-07,1.250000,1.260000,1.170000,1.220000,1.220000,306500
2018-05-14,1.230000,1.380000,1.220000,1.320000,1.320000,579400
2018-05-21,1.310000,1.330000,1.240000,1.300000,1.300000,263000
2018-05-28,1.340000,1.380000,1.260000,1.280000,1.280000,440900
2018-06-04,1.270000,1.610000,1.270000,1.510000,1.510000,1004800
2018-06-11,1.480000,1.660000,1.460000,1.660000,1.660000,817400
2018-06-18,1.670000,1.870000,1.620000,1.760000,1.760000,1142300
2018-06-25,1.750000,1.800000,1.610000,1.780000,1.780000,716600
2018-07-02,1.820000,1.830000,1.710000,1.810000,1.810000,387100
2018-07-09,1.820000,1.820000,1.600000,1.650000,1.650000,496600
2018-07-16,1.610000,1.870000,1.580000,1.840000,1.840000,695500
2018-07-23,1.840000,2.010000,1.760000,1.860000,1.860000,1599800
2018-07-30,1.880000,2.010000,1.850000,1.930000,1.930000,613600
2018-08-06,1.900000,1.950000,1.800000,1.810000,1.810000,361000
2018-08-13,1.820000,1.880000,1.800000,1.830000,1.830000,888300
2018-08-20,1.830000,2.020000,1.820000,2.010000,2.010000,988000
2018-08-27,1.990000,2.000000,1.750000,1.810000,1.810000,886700
2018-09-03,1.840000,1.870000,1.740000,1.820000,1.820000,415900
2018-09-10,1.790000,1.840000,1.760000,1.830000,1.830000,216400
2018-09-17,1.810000,1.950000,1.800000,1.950000,1.950000,367900
2018-09-24,1.910000,2.120000,1.900000,2.000000,2.000000,1059000
2018-10-01,2.010000,2.010000,1.890000,1.930000,1.930000,466900
2018-10-08,1.920000,2.100000,1.890000,2.080000,2.080000,1913500
2018-10-15,2.100000,2.340000,2.050000,2.080000,2.080000,1118300
2018-10-22,2.090000,2.170000,1.950000,2.000000,2.000000,1021900
2018-10-29,2.000000,2.150000,1.980000,2.060000,2.060000,512200
2018-11-05,2.050000,2.180000,1.990000,2.180000,2.180000,717700
2018-11-12,2.180000,2.210000,2.050000,2.170000,2.170000,567500
2018-11-19,2.190000,2.240000,2.000000,2.200000,2.200000,1214000
2018-11-26,2.200000,2.260000,2.140000,2.220000,2.220000,1075400
2018-12-03,2.230000,2.250000,2.150000,2.220000,2.220000,485200
2018-12-10,2.200000,2.200000,1.840000,1.840000,1.840000,1184500
2018-12-17,1.780000,1.840000,1.480000,1.610000,1.610000,1634200
2018-12-24,1.540000,1.730000,1.500000,1.720000,1.720000,750500
2018-12-31,1.670000,1.890000,1.670000,1.860000,1.860000,418900
2019-01-07,1.880000,2.050000,1.820000,2.050000,2.050000,576400
2019-01-14,2.040000,2.110000,1.940000,2.070000,2.070000,708100
2019-01-21,2.050000,2.150000,2.030000,2.120000,2.120000,660100
2019-01-28,2.140000,2.140000,1.980000,2.100000,2.100000,412100
2019-02-04,2.090000,2.120000,2.040000,2.110000,2.110000,215400
2019-02-11,2.130000,2.130000,2.070000,2.120000,2.120000,316900
2019-02-18,2.090000,2.150000,2.050000,2.110000,2.110000,265900
2019-02-25,2.110000,2.300000,2.100000,2.300000,2.300000,471400
2019-03-04,2.260000,2.380000,2.150000,2.360000,2.360000,760200
2019-03-11,2.360000,2.550000,2.340000,2.530000,2.530000,892400
2019-03-18,2.530000,2.550000,2.290000,2.340000,2.340000,851700
2019-03-25,2.350000,2.550000,2.350000,2.460000,2.460000,461300
2019-04-01,2.500000,2.510000,2.400000,2.510000,2.510000,376400
2019-04-08,2.510000,2.560000,2.480000,2.530000,2.530000,716300
2019-04-15,2.530000,2.780000,2.470000,2.780000,2.780000,1415400
2019-04-18,2.750000,2.780000,2.700000,2.780000,2.780000,275923
